SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
01-JAN-2020,1,26340,27153,23821,1073,6465,0,13040,0,15,1703,0,852,-151,-47,854,0,0,0,0
01-JAN-2020,2,26921,27684,24393,1020,6465,0,13040,0,17,1703,0,853,-146,0,854,0,0,0,0
01-JAN-2020,3,26569,27240,24085,1010,6465,0,13040,0,18,1703,0,852,-53,0,854,0,0,0,0
01-JAN-2020,4,25754,26435,23350,1043,6465,0,13040,0,15,1703,0,852,-66,0,854,0,0,0,0
01-JAN-2020,5,25075,25824,22788,1001,6465,0,13040,0,15,1704,0,853,-74,-60,854,0,0,0,0
01-JAN-2020,6,24468,25542,22212,985,6465,0,13040,0,332,1703,0,845,-74,-68,854,0,0,0,0
01-JAN-2020,7,23724,25226,21455,964,6465,0,13040,0,828,1703,0,213,-74,0,854,0,0,0,0
01-JAN-2020,8,23041,24573,20859,967,6465,0,13040,0,858,1703,0,174,-74,0,832,0,0,0,0
01-JAN-2020,9,22537,23822,20472,975,6465,0,13040,0,593,1704,0,104,-74,0,-18,0,0,0,0
01-JAN-2020,10,22322,23898,20314,1016,6465,0,13040,0,830,1704,0,102,-74,0,-72,0,0,0,0
01-JAN-2020,11,22358,23879,20376,1085,6465,0,13040,0,847,1700,0,316,-74,0,175,0,0,0,0
01-JAN-2020,12,22511,24017,20540,1177,6465,0,13040,0,841,1700,0,336,-65,0,193,0,0,0,0
01-JAN-2020,13,23354,24795,21325,1169,6465,0,13040,0,841,1703,0,587,13,0,808,0,0,0,0
01-JAN-2020,14,23690,25038,21728,1194,6465,0,13040,0,708,1703,0,598,-40,0,839,0,0,0,0
01-JAN-2020,15,24162,25199,22203,1158,6465,0,13040,0,355,1704,0,785,-82,0,853,0,0,0,0
01-JAN-2020,16,24414,25297,22476,1183,6465,0,13040,0,283,1704,0,792,13,0,854,0,0,0,0
01-JAN-2020,17,24904,25618,22941,1203,6465,0,13040,0,114,1704,0,851,14,0,854,0,0,0,0
01-JAN-2020,18,25639,26254,23645,1283,6465,44,13040,0,15,1704,0,853,14,0,854,0,0,0,0
01-JAN-2020,19,26840,27506,24776,1217,6465,264,13040,0,14,1704,0,854,-52,15,854,0,0,0,0
01-JAN-2020,20,28095,28707,25857,1195,6465,615,13040,0,12,1703,0,854,61,114,854,0,0,0,0
01-JAN-2020,21,29209,29818,26849,1213,6465,897,13040,0,9,1798,0,900,69,23,900,0,0,0,0
01-JAN-2020,22,29757,30366,27331,1267,6465,1079,13040,0,9,1801,0,902,66,78,902,0,0,0,0
01-JAN-2020,23,30508,31117,28051,1386,6465,1077,13040,0,9,1954,0,976,79,134,977,0,0,0,0
01-JAN-2020,24,31378,31987,28886,1531,6465,1081,13040,0,9,1959,0,979,69,124,980,0,0,0,0
01-JAN-2020,25,32317,32961,29747,1538,6465,1067,13040,0,9,1998,0,999,-35,10,999,0,0,0,0
01-JAN-2020,26,32654,33263,30008,1555,6465,1122,13040,0,9,2000,0,1000,20,0,1000,0,0,0,0
01-JAN-2020,27,32943,33554,30251,1590,6465,851,13040,0,11,2000,0,999,73,24,1000,0,0,0,0
01-JAN-2020,28,33021,33633,30300,1639,6465,694,13040,0,12,1999,0,999,48,112,1000,0,0,0,0
01-JAN-2020,29,33273,33882,30601,1616,6465,457,13040,0,9,2000,0,999,81,250,1000,0,0,0,0
01-JAN-2020,30,33502,34111,30821,1587,6465,240,13040,0,9,1999,0,1000,81,227,1000,0,0,0,0
01-JAN-2020,31,33908,34517,31160,1643,6465,61,13040,0,9,2000,0,956,81,353,973,0,0,0,0
01-JAN-2020,32,34616,35225,31801,1708,6465,5,13040,0,9,2000,0,954,81,485,972,0,0,0,0
01-JAN-2020,33,35524,36139,32662,1764,6465,0,13040,0,15,1999,0,998,81,504,1018,0,0,0,0
01-JAN-2020,34,36757,37364,33837,1840,6465,0,13040,0,7,1999,0,1000,81,504,1020,0,0,0,0
01-JAN-2020,35,37271,37877,34372,1890,6465,0,13040,0,6,2000,0,980,81,504,969,0,0,0,0
01-JAN-2020,36,37061,37667,34243,1942,6465,0,13040,0,6,2000,0,978,81,504,949,0,0,0,0
01-JAN-2020,37,36138,36745,33460,1965,6465,0,13040,0,7,2000,0,898,81,504,147,0,0,0,0
01-JAN-2020,38,35398,36006,32793,1992,6465,0,13040,0,8,2001,0,895,81,504,99,0,0,0,0
01-JAN-2020,39,34613,35221,32127,2046,6465,0,13040,0,8,2001,0,729,81,504,127,0,0,0,0
01-JAN-2020,40,33645,34254,31204,2100,6465,0,13040,0,9,2000,0,723,81,504,128,0,0,0,0
01-JAN-2020,41,32734,33343,30388,2172,6465,0,13040,0,9,2000,0,831,81,504,337,0,0,0,0
01-JAN-2020,42,31564,32173,29371,2236,6465,0,13040,0,9,2000,0,835,81,504,340,0,0,0,0
01-JAN-2020,43,30352,31121,28221,2235,6465,0,13040,0,9,1906,0,945,81,504,-160,0,0,0,0
01-JAN-2020,44,28724,29519,26747,2251,6465,0,13040,0,9,1899,0,950,81,504,-186,0,0,0,0
01-JAN-2020,45,27187,28451,25315,2353,6465,0,13040,0,9,1430,0,856,81,504,-655,0,0,0,0
01-JAN-2020,46,25909,27181,24056,2450,6465,0,13040,0,9,1396,0,850,81,504,-663,0,0,0,0
01-JAN-2020,47,24414,25023,22661,2532,6465,0,13040,0,9,695,0,419,81,504,19,0,0,0,0
01-JAN-2020,48,23293,23906,21680,2611,6465,0,13040,0,13,659,0,396,81,504,56,0,0,0,0
02-JAN-2020,1,23040,23830,21509,2714,6465,0,13040,0,190,1151,0,136,81,504,115,0,0,0,0
02-JAN-2020,2,23334,24221,21879,2803,6465,0,13040,0,287,1162,0,123,81,504,118,0,0,0,0
02-JAN-2020,3,23037,23938,21619,2837,6465,0,13040,0,289,441,0,258,81,504,-12,0,0,0,0
02-JAN-2020,4,22355,23736,21009,2863,6465,0,13040,0,764,323,0,264,81,504,-17,0,0,0,0
02-JAN-2020,5,21773,24031,20517,2901,6465,0,13040,0,606,-1051,0,310,81,504,-1,0,0,0,0
02-JAN-2020,6,21437,24080,20202,2934,6465,0,13040,0,852,-1190,0,312,81,504,-1,0,0,0,0
02-JAN-2020,7,20953,24037,19694,3007,6465,0,13040,0,591,-1609,0,134,81,504,-284,0,0,0,0
02-JAN-2020,8,20625,24090,19356,3089,6465,0,13040,0,940,-1628,0,126,81,504,-297,0,0,0,0
02-JAN-2020,9,20398,24410,19161,3165,6465,0,13040,0,703,-1628,0,-337,81,504,-744,0,0,0,0
02-JAN-2020,10,20523,24637,19253,3264,6465,0,13040,0,747,-1627,0,-378,81,504,-763,0,0,0,0
