Model,Subset,50,100,250,500,1k,2k,5k,10k
Oracle (true model),f_{X1},0.117 ± 0.072,0.049 ± 0.033,0.047 ± 0.033,0.039 ± 0.021,0.025 ± 0.019,0.023 ± 0.007,0.012 ± 0.006,0.007 ± 0.005
Oracle (true model),f_{X2},0.083 ± 0.061,0.059 ± 0.038,0.049 ± 0.036,0.031 ± 0.017,0.018 ± 0.010,0.013 ± 0.010,0.008 ± 0.005,0.007 ± 0.004
Oracle (true model),f_{X3},0.116 ± 0.112,0.124 ± 0.066,0.059 ± 0.048,0.049 ± 0.038,0.034 ± 0.036,0.024 ± 0.025,0.022 ± 0.020,0.014 ± 0.011
Oracle (true model),"f_{X1,X2}",0.138 ± 0.101,0.135 ± 0.071,0.075 ± 0.043,0.068 ± 0.041,0.045 ± 0.029,0.031 ± 0.024,0.013 ± 0.011,0.013 ± 0.008
Ridge,f_{X1},0.193 ± 0.118,0.109 ± 0.071,0.075 ± 0.039,0.049 ± 0.036,0.029 ± 0.027,0.022 ± 0.016,0.012 ± 0.010,0.010 ± 0.007
Ridge,f_{X2},0.217 ± 0.106,0.128 ± 0.073,0.075 ± 0.031,0.036 ± 0.030,0.032 ± 0.029,0.026 ± 0.012,0.017 ± 0.008,0.015 ± 0.013
Ridge,f_{X3},0.326 ± 0.121,0.193 ± 0.129,0.066 ± 0.064,0.074 ± 0.043,0.059 ± 0.046,0.036 ± 0.025,0.030 ± 0.025,0.015 ± 0.016
Ridge,"f_{X1,X2}",1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
Random Forest,f_{X1},0.174 ± 0.100,0.083 ± 0.049,0.048 ± 0.047,0.039 ± 0.033,0.038 ± 0.025,0.038 ± 0.027,0.025 ± 0.017,0.025 ± 0.017
Random Forest,f_{X2},0.284 ± 0.212,0.240 ± 0.138,0.140 ± 0.067,0.113 ± 0.047,0.071 ± 0.035,0.043 ± 0.016,0.012 ± 0.012,0.025 ± 0.013
Random Forest,f_{X3},0.209 ± 0.205,0.176 ± 0.164,0.111 ± 0.063,0.108 ± 0.076,0.112 ± 0.057,0.077 ± 0.046,0.083 ± 0.050,0.069 ± 0.042
Random Forest,"f_{X1,X2}",0.699 ± 0.592,0.551 ± 0.306,0.410 ± 0.380,0.286 ± 0.202,0.338 ± 0.329,0.191 ± 0.207,0.155 ± 0.103,0.207 ± 0.141
NGBoost,f_{X1},0.180 ± 0.192,0.106 ± 0.061,0.072 ± 0.062,0.068 ± 0.040,0.054 ± 0.035,0.032 ± 0.026,0.032 ± 0.017,0.022 ± 0.018
NGBoost,f_{X2},0.111 ± 0.061,0.186 ± 0.152,0.140 ± 0.075,0.095 ± 0.061,0.080 ± 0.045,0.038 ± 0.027,0.025 ± 0.016,0.032 ± 0.022
NGBoost,f_{X3},0.246 ± 0.238,0.284 ± 0.179,0.224 ± 0.115,0.145 ± 0.115,0.079 ± 0.041,0.059 ± 0.055,0.044 ± 0.030,0.034 ± 0.025
NGBoost,"f_{X1,X2}",0.394 ± 0.272,0.425 ± 0.224,0.240 ± 0.185,0.204 ± 0.105,0.217 ± 0.139,0.114 ± 0.086,0.125 ± 0.081,0.131 ± 0.068
MLP,f_{X1},0.141 ± 0.096,0.073 ± 0.061,0.057 ± 0.038,0.039 ± 0.029,0.030 ± 0.027,0.025 ± 0.020,0.016 ± 0.010,0.010 ± 0.010
MLP,f_{X2},0.152 ± 0.123,0.131 ± 0.081,0.125 ± 0.042,0.091 ± 0.051,0.112 ± 0.026,0.096 ± 0.024,0.076 ± 0.021,0.072 ± 0.017
MLP,f_{X3},0.137 ± 0.125,0.161 ± 0.135,0.069 ± 0.054,0.048 ± 0.032,0.053 ± 0.044,0.035 ± 0.031,0.033 ± 0.018,0.026 ± 0.017
MLP,"f_{X1,X2}",1.232 ± 0.192,1.162 ± 0.132,0.440 ± 0.257,0.325 ± 0.221,0.372 ± 0.135,0.361 ± 0.048,0.384 ± 0.046,0.374 ± 0.035
