Model,Subset,L2 n=50,Agg n=50,L2 n=500,Agg n=500,L2 n=2k,Agg n=2k,L2 n=10k,Agg n=10k
Oracle (true model),f_{X1},0.122±0.068,0.117±0.072,0.043±0.020,0.039±0.021,0.025±0.007,0.023±0.007,0.008±0.005,0.007±0.005
Oracle (true model),f_{X2},0.093±0.045,0.083±0.061,0.034±0.013,0.031±0.017,0.016±0.008,0.013±0.010,0.007±0.004,0.007±0.004
Oracle (true model),f_{X3},0.116±0.112,0.116±0.112,0.049±0.038,0.049±0.038,0.024±0.025,0.024±0.025,0.014±0.011,0.014±0.011
Oracle (true model),"f_{X1,X2}",0.138±0.101,0.138±0.101,0.068±0.041,0.068±0.041,0.031±0.024,0.031±0.024,0.013±0.008,0.013±0.008
Ridge,f_{X1},0.220±0.092,0.193±0.118,0.059±0.023,0.049±0.036,0.030±0.012,0.022±0.016,0.013±0.004,0.010±0.007
Ridge,f_{X2},0.278±0.067,0.217±0.106,0.056±0.022,0.036±0.030,0.026±0.009,0.026±0.012,0.013±0.005,0.015±0.013
Ridge,f_{X3},0.281±0.126,0.326±0.121,0.067±0.039,0.074±0.043,0.034±0.023,0.036±0.025,0.017±0.011,0.015±0.016
Ridge,"f_{X1,X2}",1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000
Random Forest,f_{X1},0.248±0.067,0.174±0.100,0.089±0.038,0.039±0.033,0.051±0.018,0.038±0.027,0.032±0.009,0.025±0.017
Random Forest,f_{X2},0.387±0.086,0.284±0.212,0.099±0.029,0.113±0.047,0.041±0.010,0.043±0.016,0.022±0.003,0.025±0.013
Random Forest,f_{X3},0.317±0.121,0.209±0.205,0.117±0.023,0.108±0.076,0.081±0.027,0.077±0.046,0.062±0.018,0.069±0.042
Random Forest,"f_{X1,X2}",0.816±0.252,0.699±0.592,0.390±0.058,0.286±0.202,0.270±0.047,0.191±0.207,0.213±0.057,0.207±0.141
NGBoost,f_{X1},0.309±0.116,0.180±0.192,0.151±0.031,0.068±0.040,0.067±0.012,0.032±0.026,0.036±0.012,0.022±0.018
NGBoost,f_{X2},0.246±0.036,0.111±0.061,0.133±0.023,0.095±0.061,0.054±0.015,0.038±0.027,0.031±0.011,0.032±0.022
NGBoost,f_{X3},0.373±0.118,0.246±0.238,0.199±0.056,0.145±0.115,0.093±0.029,0.059±0.055,0.042±0.018,0.034±0.025
NGBoost,"f_{X1,X2}",0.640±0.126,0.394±0.272,0.274±0.061,0.204±0.105,0.184±0.044,0.114±0.086,0.158±0.038,0.131±0.068
MLP,f_{X1},0.186±0.047,0.141±0.096,0.056±0.020,0.039±0.029,0.034±0.013,0.025±0.020,0.016±0.005,0.010±0.010
MLP,f_{X2},0.211±0.052,0.152±0.123,0.081±0.014,0.091±0.051,0.063±0.011,0.096±0.024,0.050±0.005,0.072±0.017
MLP,f_{X3},0.203±0.075,0.137±0.125,0.062±0.022,0.048±0.032,0.039±0.017,0.035±0.031,0.025±0.010,0.026±0.017
MLP,"f_{X1,X2}",1.036±0.049,1.232±0.192,0.414±0.177,0.325±0.221,0.403±0.036,0.361±0.048,0.368±0.044,0.374±0.035
