Model,Subset,50,100,250,500,1k,2k,5k,10k
Oracle (true model),f_{X1},0.123 ± 0.084,0.073 ± 0.051,0.050 ± 0.022,0.038 ± 0.020,0.029 ± 0.022,0.021 ± 0.009,0.013 ± 0.006,0.008 ± 0.004
Oracle (true model),f_{X2},0.081 ± 0.050,0.065 ± 0.045,0.044 ± 0.023,0.035 ± 0.014,0.024 ± 0.012,0.017 ± 0.010,0.010 ± 0.005,0.007 ± 0.005
Oracle (true model),f_{X3},0.153 ± 0.137,0.129 ± 0.097,0.077 ± 0.062,0.054 ± 0.047,0.033 ± 0.029,0.028 ± 0.021,0.018 ± 0.014,0.015 ± 0.010
Oracle (true model),"f_{X1,X2}",0.137 ± 0.115,0.113 ± 0.085,0.069 ± 0.043,0.049 ± 0.038,0.044 ± 0.032,0.029 ± 0.022,0.018 ± 0.012,0.013 ± 0.008
Ridge,f_{X1},0.246 ± 0.089,0.145 ± 0.049,0.090 ± 0.035,0.056 ± 0.022,0.042 ± 0.021,0.026 ± 0.012,0.017 ± 0.006,0.011 ± 0.004
Ridge,f_{X2},0.238 ± 0.079,0.150 ± 0.050,0.077 ± 0.021,0.052 ± 0.018,0.036 ± 0.011,0.027 ± 0.008,0.015 ± 0.005,0.012 ± 0.005
Ridge,f_{X3},0.274 ± 0.146,0.180 ± 0.109,0.110 ± 0.064,0.072 ± 0.045,0.048 ± 0.027,0.036 ± 0.017,0.023 ± 0.014,0.017 ± 0.009
Ridge,"f_{X1,X2}",1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
Random Forest,f_{X1},0.242 ± 0.082,0.155 ± 0.055,0.112 ± 0.037,0.088 ± 0.034,0.080 ± 0.029,0.056 ± 0.018,0.040 ± 0.010,0.029 ± 0.009
Random Forest,f_{X2},0.327 ± 0.114,0.226 ± 0.071,0.126 ± 0.036,0.082 ± 0.025,0.056 ± 0.015,0.041 ± 0.010,0.028 ± 0.005,0.022 ± 0.005
Random Forest,f_{X3},0.307 ± 0.123,0.257 ± 0.086,0.172 ± 0.068,0.120 ± 0.032,0.103 ± 0.028,0.091 ± 0.030,0.075 ± 0.021,0.057 ± 0.017
Random Forest,"f_{X1,X2}",0.723 ± 0.189,0.551 ± 0.130,0.466 ± 0.157,0.381 ± 0.077,0.337 ± 0.078,0.294 ± 0.047,0.260 ± 0.065,0.210 ± 0.047
NGBoost,f_{X1},0.294 ± 0.083,0.231 ± 0.049,0.169 ± 0.034,0.133 ± 0.028,0.094 ± 0.030,0.073 ± 0.019,0.048 ± 0.010,0.035 ± 0.009
NGBoost,f_{X2},0.247 ± 0.073,0.216 ± 0.041,0.164 ± 0.032,0.128 ± 0.026,0.073 ± 0.018,0.054 ± 0.014,0.034 ± 0.009,0.028 ± 0.011
NGBoost,f_{X3},0.394 ± 0.114,0.361 ± 0.119,0.268 ± 0.075,0.201 ± 0.047,0.114 ± 0.028,0.095 ± 0.032,0.050 ± 0.017,0.042 ± 0.017
NGBoost,"f_{X1,X2}",0.629 ± 0.138,0.511 ± 0.115,0.401 ± 0.089,0.283 ± 0.051,0.220 ± 0.040,0.172 ± 0.060,0.166 ± 0.045,0.151 ± 0.040
MLP,f_{X1},0.182 ± 0.065,0.112 ± 0.048,0.077 ± 0.021,0.055 ± 0.018,0.045 ± 0.020,0.031 ± 0.012,0.021 ± 0.006,0.015 ± 0.005
MLP,f_{X2},0.177 ± 0.053,0.134 ± 0.043,0.092 ± 0.021,0.073 ± 0.020,0.067 ± 0.017,0.060 ± 0.011,0.050 ± 0.009,0.049 ± 0.010
MLP,f_{X3},0.238 ± 0.108,0.168 ± 0.083,0.112 ± 0.051,0.072 ± 0.037,0.052 ± 0.024,0.040 ± 0.018,0.032 ± 0.012,0.028 ± 0.012
MLP,"f_{X1,X2}",1.026 ± 0.038,1.017 ± 0.032,0.662 ± 0.244,0.438 ± 0.155,0.400 ± 0.050,0.394 ± 0.040,0.385 ± 0.030,0.370 ± 0.044
