t,x1,x2,x3
0.000000,0.082055,0.014955,0.001979
0.100418,0.082055,0.014955,0.001979
0.200837,0.082055,0.014955,0.001979
0.301255,0.082055,0.014955,0.001979
0.401674,0.082055,0.014955,0.001979
0.502092,0.082055,0.014955,0.001979
0.602510,0.082055,0.014955,0.001979
0.702929,0.082055,0.014955,0.001979
0.803347,0.082055,0.014955,0.001979
0.903766,0.082055,0.014955,0.001979
1.004184,0.082055,0.014955,0.001979
1.104603,0.082055,0.014955,0.001979
1.205021,0.082055,0.014955,0.001979
1.305439,0.082055,0.014955,0.001979
1.405858,0.082055,0.014955,0.001979
1.506276,0.082055,0.014955,0.001979
1.606695,0.082055,0.014955,0.001979
1.707113,0.082055,0.014955,0.001979
1.807531,0.082055,0.014955,0.001979
1.907950,0.082055,0.014955,0.001979
2.008368,0.082055,0.014955,0.001979
2.108787,0.082055,0.014955,0.001979
2.209205,0.082055,0.014955,0.001979
2.309623,0.082055,0.014955,0.001979
2.410042,0.082055,0.014955,0.001979
2.510460,0.082055,0.014955,0.001979
2.610879,0.082055,0.014955,0.001979
2.711297,0.082055,0.014955,0.001979
2.811715,0.082055,0.014955,0.001979
2.912134,0.082055,0.014955,0.001979
3.012552,0.082055,0.014955,0.001979
3.112971,0.082055,0.014955,0.001979
3.213389,0.082055,0.014955,0.001979
3.313808,0.082055,0.014955,0.001979
3.414226,0.082055,0.014955,0.001979
3.514644,0.082055,0.014955,0.001979
3.615063,0.082055,0.014955,0.001979
3.715481,0.082055,0.014955,0.001979
3.815900,0.082055,0.014955,0.001979
3.916318,0.082055,0.014955,0.001979
4.016736,0.082055,0.014955,0.001979
4.117155,0.082055,0.014955,0.001979
4.217573,0.082055,0.014955,0.001979
4.317992,0.082055,0.014955,0.001979
4.418410,0.082055,0.014955,0.001979
4.518828,0.082055,0.014955,0.001979
4.619247,0.082055,0.014955,0.001979
4.719665,0.082055,0.014955,0.001979
4.820084,0.082055,0.014955,0.001979
4.920502,0.082055,0.014955,0.001979
5.020921,0.082055,0.014956,0.001979
5.121339,0.082055,0.014956,0.001979
5.221757,0.082054,0.014957,0.001979
5.322176,0.082054,0.014958,0.001979
5.422594,0.082054,0.014960,0.001979
5.523013,0.082053,0.014962,0.001979
5.623431,0.082052,0.014967,0.001979
5.723849,0.082051,0.014973,0.001979
5.824268,0.082049,0.014983,0.001978
5.924686,0.082046,0.014999,0.001978
6.025105,0.082041,0.015021,0.001978
6.125523,0.082033,0.015056,0.001978
6.225941,0.082023,0.015106,0.001977
6.326360,0.082007,0.015178,0.001976
6.426778,0.081985,0.015282,0.001975
6.527197,0.081954,0.015430,0.001974
6.627615,0.081909,0.015638,0.001972
6.728033,0.081848,0.015926,0.001969
6.828452,0.081763,0.016322,0.001965
6.928870,0.081649,0.016858,0.001959
7.029289,0.081496,0.017575,0.001952
7.129707,0.081295,0.018521,0.001942
7.230126,0.081032,0.019753,0.001930
7.330544,0.080695,0.021334,0.001914
7.430962,0.080269,0.023332,0.001893
7.531381,0.079739,0.025814,0.001868
7.631799,0.079093,0.028847,0.001837
7.732218,0.078318,0.032483,0.001800
7.832636,0.077406,0.036759,0.001757
7.933054,0.076355,0.041685,0.001707
8.033473,0.075170,0.047243,0.001650
8.133891,0.073862,0.053377,0.001588
8.234310,0.072450,0.060000,0.001520
8.334728,0.070959,0.066997,0.001449
8.435146,0.069417,0.074229,0.001375
8.535565,0.067855,0.081550,0.001301
8.635983,0.066306,0.088817,0.001227
8.736402,0.064797,0.095894,0.001155
8.836820,0.063353,0.102667,0.001086
8.937238,0.061993,0.109045,0.001021
9.037657,0.060732,0.114961,0.000961
9.138075,0.059578,0.120369,0.000906
9.238494,0.058539,0.125246,0.000856
9.338912,0.057614,0.129582,0.000812
9.439331,0.056804,0.133382,0.000773
9.539749,0.056106,0.136657,0.000740
9.640167,0.055516,0.139422,0.000712
9.740586,0.055031,0.141697,0.000689
9.841004,0.054647,0.143497,0.000670
9.941423,0.054361,0.144841,0.000657
10.041841,0.054169,0.145739,0.000648
10.142259,0.054070,0.146202,0.000643
10.242678,0.054063,0.146235,0.000642
10.343096,0.054148,0.145836,0.000647
10.443515,0.054326,0.145004,0.000655
10.543933,0.054598,0.143728,0.000668
10.644351,0.054967,0.141996,0.000686
10.744770,0.055437,0.139794,0.000708
10.845188,0.056010,0.137104,0.000735
