t,x1,x2,x3
0.000000,0.300000,0.000000,0.000000
0.100418,0.294035,0.000000,0.000000
0.200837,0.288189,0.000000,0.000000
0.301255,0.282458,0.000000,0.000000
0.401674,0.276842,0.000000,0.000000
0.502092,0.271338,0.000000,0.000000
0.602510,0.265943,0.000000,0.000000
0.702929,0.260655,0.000000,0.000000
0.803347,0.255472,0.000000,0.000000
0.903766,0.250392,0.000000,0.000000
1.004184,0.245414,0.000000,0.000000
1.104603,0.240534,0.000000,0.000000
1.205021,0.235752,0.000000,0.000000
1.305439,0.231064,0.000000,0.000000
1.405858,0.226470,0.000000,0.000000
1.506276,0.221967,0.000000,0.000000
1.606695,0.217553,0.000000,0.000000
1.707113,0.213228,0.000000,0.000000
1.807531,0.208988,0.000000,0.000000
1.907950,0.204832,0.000000,0.000000
2.008368,0.200760,0.000000,0.000000
2.108787,0.196768,0.000000,0.000000
2.209205,0.192856,0.000000,0.000000
2.309623,0.189021,0.000000,0.000000
2.410042,0.185263,0.000000,0.000000
2.510460,0.181579,0.000000,0.000000
2.610879,0.177969,0.000000,0.000000
2.711297,0.174430,0.000000,0.000000
2.811715,0.170962,0.000000,0.000000
2.912134,0.167562,0.000000,0.000000
3.012552,0.164231,0.000000,0.000000
3.112971,0.160965,0.000000,0.000000
3.213389,0.157765,0.000000,0.000000
3.313808,0.154628,0.000000,0.000000
3.414226,0.151553,0.000000,0.000000
3.514644,0.148540,0.000000,0.000000
3.615063,0.145586,0.000000,0.000000
3.715481,0.142692,0.000000,0.000000
3.815900,0.139854,0.000000,0.000000
3.916318,0.137074,0.000000,0.000000
4.016736,0.134348,0.000000,0.000000
4.117155,0.131677,0.000000,0.000000
4.217573,0.129059,0.000000,0.000000
4.317992,0.126493,0.000000,0.000000
4.418410,0.123978,0.000000,0.000000
4.518828,0.121512,0.000000,0.000000
4.619247,0.119096,0.000000,0.000000
4.719665,0.116728,0.000000,0.000000
4.820084,0.114407,0.000001,0.000000
4.920502,0.112133,0.000001,0.000000
5.020921,0.109903,0.000002,0.000000
5.121339,0.107718,0.000003,0.000000
5.221757,0.105576,0.000004,0.000000
5.322176,0.103477,0.000007,0.000000
5.422594,0.101419,0.000011,0.000000
5.523013,0.099403,0.000018,0.000000
5.623431,0.097426,0.000028,0.000000
5.723849,0.095489,0.000043,0.000000
5.824268,0.093591,0.000065,0.000000
5.924686,0.091730,0.000099,0.000000
6.025105,0.089906,0.000148,0.000000
6.125523,0.088118,0.000220,0.000000
6.225941,0.086366,0.000323,0.000000
6.326360,0.084649,0.000469,0.000000
6.426778,0.082966,0.000675,0.000000
6.527197,0.081316,0.000962,0.000000
6.627615,0.079699,0.001357,0.000000
6.728033,0.078115,0.001894,0.000000
6.828452,0.076561,0.002617,0.000000
6.928870,0.075039,0.003581,0.000000
7.029289,0.073547,0.004850,0.000000
7.129707,0.072085,0.006502,0.000000
7.230126,0.070651,0.008631,0.000000
7.330544,0.069247,0.011341,0.000000
7.430962,0.067870,0.014754,0.000000
7.531381,0.066520,0.019000,0.000000
7.631799,0.065198,0.024222,0.000000
7.732218,0.063901,0.030571,0.000000
7.832636,0.062631,0.038196,0.000000
7.933054,0.061385,0.047244,0.000000
